Gesture Name,Gesture Number,Sample Number,Acceleration_x_mean,Acceleration_x_std,Acceleration_x_mad,Acceleration_x_min,Acceleration_x_max,Acceleration_x_entropy,Acceleration_x_skew,Acceleration_x_kurtosis,Acceleration_x_fft_mean,Acceleration_x_fft_std,Acceleration_x_fft_mad,Acceleration_x_fft_entropy,Acceleration_y_mean,Acceleration_y_std,Acceleration_y_mad,Acceleration_y_min,Acceleration_y_max,Acceleration_y_entropy,Acceleration_y_skew,Acceleration_y_kurtosis,Acceleration_y_fft_mean,Acceleration_y_fft_std,Acceleration_y_fft_mad,Acceleration_y_fft_entropy,Acceleration_z_mean,Acceleration_z_std,Acceleration_z_mad,Acceleration_z_min,Acceleration_z_max,Acceleration_z_entropy,Acceleration_z_skew,Acceleration_z_kurtosis,Acceleration_z_fft_mean,Acceleration_z_fft_std,Acceleration_z_fft_mad,Acceleration_z_fft_entropy,Quaternion_i_mean,Quaternion_i_std,Quaternion_i_mad,Quaternion_i_min,Quaternion_i_max,Quaternion_i_entropy,Quaternion_i_skew,Quaternion_i_kurtosis,Quaternion_i_fft_mean,Quaternion_i_fft_std,Quaternion_i_fft_mad,Quaternion_i_fft_entropy,Quaternion_j_mean,Quaternion_j_std,Quaternion_j_mad,Quaternion_j_min,Quaternion_j_max,Quaternion_j_entropy,Quaternion_j_skew,Quaternion_j_kurtosis,Quaternion_j_fft_mean,Quaternion_j_fft_std,Quaternion_j_fft_mad,Quaternion_j_fft_entropy,Quaternion_k_mean,Quaternion_k_std,Quaternion_k_mad,Quaternion_k_min,Quaternion_k_max,Quaternion_k_entropy,Quaternion_k_skew,Quaternion_k_kurtosis,Quaternion_k_fft_mean,Quaternion_k_fft_std,Quaternion_k_fft_mad,Quaternion_k_fft_entropy,Quaternion_real_mean,Quaternion_real_std,Quaternion_real_mad,Quaternion_real_min,Quaternion_real_max,Quaternion_real_entropy,Quaternion_real_skew,Quaternion_real_kurtosis,Quaternion_real_fft_mean,Quaternion_real_fft_std,Quaternion_real_fft_mad,Quaternion_real_fft_entropy
zero,0,1,-3.2775493296969698,8.70267250370301,4.685251282828288,-20.582031,12.033854222222224,4.287879612615947,-0.3709158141863483,-0.5037371174487042,33.867394955802766,86.60764048534179,4.2328859406140245,3.2662551979858976,-7.671330489393939,3.3524747780207607,2.4776081111111123,-12.54817711111111,1.136719,4.5027372728479556,0.4127279117224827,-0.4157774743724567,23.9368487790305,80.22385637705823,2.61631677814958,3.1710235641582947,-0.5599857384848486,12.455857932605745,5.029020444444446,-18.618726454545456,24.43130529292929,4.323404262134299,0.6379818314879526,-0.6071102344013029,36.28087437305868,119.28912876361669,3.1141030539729635,2.8523992084684306,0.917034233322795,0.06374739217564983,0.036257685666435,0.7915956106769655,1.0,4.602709284146053,-0.7174022826554021,-0.7794167907112586,1.1283184903292405,9.122962725666124,0.016302512442882493,1.0861414794132647,0.19103510456176792,0.15402503627232939,0.1362477191334859,-0.0638768690715042,0.4059675472212111,4.336450239641892,-0.22926499599814115,-1.368957855550253,0.8691340926163167,2.2948678015114092,0.0699118853211691,3.4193486756117153,0.18224429580175108,0.102726189925376,0.08771637082124735,-2.775557561562892e-17,0.3497808705153566,4.419988508946785,0.04239978817280485,-1.060764710088552,0.49624899564029334,2.032314512867548,0.030360144978531914,2.70046262850813,0.14397702508449156,0.17338710241509175,0.0941209902447036,-0.0352194067666086,0.4699701702213632,4.053917622255763,0.7120050102278788,-1.042277945632584,0.6121222236181085,2.1689982680862157,0.03178578117097473,2.624899721868712
zero,0,2,-2.5314239262626264,7.820038951879334,5.953322131313131,-18.026988222222226,9.932646848484849,4.370771047309047,-0.5176780277060306,-0.8681310867802949,29.292920187489585,76.79867484029823,3.5395008966424113,3.306749475026132,-6.046685191616161,2.777563305057576,1.6455968030303034,-10.884785353535358,1.796875,4.5105065659955965,0.7510742342990261,0.4733470640144133,20.354636959562853,63.35151715827847,3.62214717114599,3.305844688854201,1.9760882267676771,9.172160087779103,6.862985409090909,-9.071614666666663,19.884193777777774,4.313173583413597,0.6996440880234086,-0.8312101558383418,33.19663386682272,87.75721073218939,3.400089241717003,3.3036912870196553,0.9253256859142444,0.05044910722740011,0.052359945580771006,0.8550183384765607,1.0,4.603683203170286,0.012865115590379981,-1.5156865430253983,1.0214533176385465,9.210532387606925,0.006216052642235537,0.5078812336528473,-0.2514729318390227,0.18763215806643638,0.1820588516794051,-0.5160878043990517,0.0170195175210641,4.2952668966440335,-0.01845994656731505,-1.5123590518326944,0.6289086610839975,3.0739095814372495,0.027219917063814332,1.998717629139903,0.024727178284918237,0.024307318831649497,0.0226903712316978,-0.0227507350787501,0.0599079661987938,4.3111244266516096,-0.10433182373815454,-1.1590745120802393,0.12564829606743644,0.3231724232775892,0.009886380672514974,3.4487658723338765,-0.0013909254587820778,0.20345927945031586,0.1497063722604828,-0.2370409385067487,0.3417250790415171,4.470272111465,0.405425158342117,-1.374790715539858,0.46466573305373315,1.9808702792795387,0.03379090016111298,2.5834640823881196
zero,0,3,-3.9210574130303035,9.050219371874347,6.9364546565656555,-18.37499955555556,15.610992979797976,4.406483005312196,0.2924177322224911,-0.9286129485733774,32.49843552345235,93.12340135573321,2.7268125157671075,2.9989225592785744,-8.778431960505051,5.142607946705816,2.8790050000000003,-17.195667202020203,1.9077887272727272,4.458066076434654,0.4747471370619431,-0.25369685303321665,30.549293939245427,97.0436451174801,2.957283101692937,3.190419602709709,2.4356412132323237,9.737016342547266,5.482066454545455,-12.692195737373735,23.232718181818186,4.292585334372562,0.6499997231660257,-0.7730649429919083,39.21664688019211,92.39176448654476,3.314113461439214,3.4387960138050273,-0.5040968317509228,0.7492300952948453,0.06935837109513704,-0.9928912221492358,1.0000000000000002,4.598967248685019,1.4152162651203304,0.07201599807153558,4.165011753787606,8.012403649248782,0.5740470482620811,3.710898893464377,0.24582197372862527,0.21907494636953442,0.11343218398687752,0.0,0.6164366481268703,4.183740685354089,0.47925870268502685,-1.4088345987560138,0.7338297847902244,3.209941017592047,0.026578925004855956,2.145977686994597,-0.08123675325922701,0.05248502607894787,0.045238921350798406,-0.1579520425863217,0.0088591632318365,4.352704639988351,0.16248521499594518,-1.3736657428598054,0.2734241677787865,0.9277111774336421,0.02643559839722483,3.1459441865971787,0.00313037247471865,0.23548359828844145,0.1022967207862988,-0.4524304397347274,0.3811841258028273,4.358049633752106,-0.764213495995642,-0.5734974653186158,1.096166912230681,2.0843825296717746,0.2390212373056503,3.662600010144664
zero,0,4,-3.501074364949494,9.185953507269113,3.907334914141413,-21.326349424242423,16.860203787878792,4.335450305390376,0.14316380637027737,-0.19308478846863908,37.319251185167126,90.94613705727157,3.8257262488316,3.213325047983396,-8.066673383333331,4.790947069668209,3.080078,-15.940577454545457,1.261719,4.446353265509625,0.4808075659450624,-0.4784585039582687,27.837079471814715,89.59651966596672,2.1374330020618353,3.0947388509489357,1.9403377888888886,12.39023349691217,4.719223494949496,-10.882812,33.953125,4.24831846558228,1.3266181491314735,0.5323274951497043,45.72466206546175,116.77985683883495,3.924769408170422,3.242817481589794,-0.6433904402566949,0.6536266680066776,0.06775161469653712,-0.9894130874875122,1.0,4.601497805135421,2.039013397167247,2.244674626144283,4.165946830892552,8.170850321508638,0.674976549018152,3.7186400036304126,0.23684407836027957,0.18929152224794868,0.1552817247714444,-0.003263664127985,0.5371500894110574,4.252963264800363,0.3505503396245435,-1.4144372965437169,0.6540687897412184,2.9605462001485545,0.024573638570516577,2.1374515170815247,-0.09482325766240444,0.04750452511110136,0.01035451793739834,-0.1723960134427259,0.0001292851845682,4.439604563173232,0.596546716622057,-0.6202028367619161,0.28521927051125073,1.021500356193394,0.0217718086236391,3.064423385436527,0.05979546458604407,0.19960246616170635,0.07944848828907772,-0.3769821335130446,0.2472558811547621,4.481069578799452,-1.2324380533868444,0.04830202258894856,0.8988346868526612,1.8798298896442938,0.1455958337080141,3.5192815030497977
zero,0,5,-2.6479261854545455,5.692189868210554,4.1248225454545455,-13.609019454545454,7.204900454545454,4.281733849491202,-0.10747675852989373,-1.0115721897638816,24.894981077177228,57.632402128528895,2.573580970256276,3.3732512845483797,-5.878931087272729,3.8877376252009967,1.8908022727272717,-11.661221636363637,3.724431545454544,4.466652781699832,0.9129245924584459,-0.16093824766929643,23.479176078940704,66.45571267983377,2.177546272475738,3.335706890516466,1.8558096154545456,7.37544660600197,5.3691402727272735,-8.316406,18.536576545454547,4.341666466603868,0.7274105848794704,-0.36196426350109867,29.028196291357776,70.29571833867519,3.8128544507730786,3.3323285969029097,0.6167704295327269,0.649829385426918,0.09952126112759213,-0.9971898511294396,1.0,4.597194042211448,-1.936394277059435,1.90504631603977,3.9323378373452,8.050162633389112,0.6778345692352721,3.616848977297912,-0.25700093091417103,0.22334722557844286,0.13403027354832095,-0.6471158049560384,0.0091816625427776,4.20334696308017,-0.4835933131605951,-1.3402418762478359,0.7866359460804585,3.3127858449902763,0.03600308493847593,2.2869407052050637,0.10997543311032074,0.0658919451886499,0.0409537732977432,-0.0299253531783564,0.1890972373164495,4.413204821502588,-0.6012945197495382,-1.039115256887836,0.38930036925177164,1.2215071245617446,0.05353766836743909,3.275118591979124,-0.03742241554283174,0.2178899932085255,0.13244711702368506,-0.340582272354921,0.4372689381741981,4.304440744399502,0.9010352870361353,-0.2143158287191116,1.131122137103385,1.8995292426024508,0.1644188314187374,3.8248769989517193
zero,0,6,-2.4422123954545456,6.922097111177222,4.603338090909092,-20.454190545454544,7.604758272727273,4.332992356438971,-0.5505780747630165,-0.2494252986157366,27.256424868431033,68.1547524645168,2.0342512164196993,3.1806556298036286,-5.607407641818182,3.5370512534697562,2.4724786818181825,-11.132102272727272,1.621448909090912,4.426226379712607,0.5262547571099505,-0.9142392346883121,23.012612741514186,62.17551654733871,2.482684594536887,3.4449945550708034,0.3219957500000001,9.701237573275696,3.5980113181818183,-14.626065181818182,23.627840454545456,4.209309060334358,0.8601668529951123,0.23331655000183016,36.79033082025991,89.82338631866008,2.991979846785439,3.3589127467391107,0.9399231413095833,0.0545906129604155,0.03295146870687404,0.8362343465683943,1.0,4.603465143306882,-0.5112252096839084,-1.2666748757131516,1.0775978145599756,9.353199859370186,0.009365677294219317,0.7050657841368836,-0.07118369825733452,0.18676780299708734,0.12672304438653353,-0.3919389627559462,0.1806783654549282,4.336900314276292,-0.41588779673514603,-1.240097347213319,0.5441117666363823,1.923246083787211,0.02830525481413535,2.7349421302499137,0.09038001769880685,0.06516028643422489,0.04903543325503755,-0.0222968591803483,0.1964658627062292,4.354115254536659,-0.16773091952509492,-1.015515998536576,0.3153139112933305,1.068652511384121,0.0234251384389113,3.0192158367903743,0.1631721573372505,0.18551753863994905,0.09157992187466016,-0.0326718476235004,0.5465228362684568,4.0817577699016745,0.8960413853164156,-0.6362670907179497,0.6955090968200512,2.370750535917328,0.04328126125900397,2.7171950456251963
zero,0,7,-1.7856091892929298,6.017948986748791,4.8853376161616175,-14.623342606060604,9.254972060606056,4.257164030026395,-0.3811406511709,-0.8409007013603897,28.735640265064323,55.80926443662047,4.857627916765467,3.6091677817947123,-6.495682183737374,4.08629458336125,2.4744513585858576,-11.289654363636364,3.301412313131313,4.465313249656778,0.8865204962406487,-0.2334842620703519,25.29963270785199,72.4506565205647,3.296266631120912,3.276330431032461,1.3941947249494953,8.94701412338575,5.381648782828284,-9.563920454545451,22.58132133333333,4.222307822956633,1.00507015537173,-0.050696989250594626,32.22729643661765,84.62083330894633,3.5799513303065122,3.157333843265101,0.6679715978228948,0.6304954378391685,0.04791558900649373,-0.9405050155020798,1.0,4.602139686915338,-2.0297179490300787,2.2084486894217994,3.965680143194476,8.285193797689987,0.8855730381785545,3.6458761833479683,-0.06354935536948735,0.19307331900325309,0.1783863414659778,-0.3704580760493717,0.263453726111475,4.416507573614586,-0.14713102344165074,-1.4613177432178368,1.0473146475881676,1.7420432649128448,0.20653398929310296,3.833221224334756,0.13360747907392345,0.08687353033066383,0.07100365933237039,-0.041140056481681,0.2563945790115783,4.371364054622933,-0.3726080416493935,-1.22848287763857,0.48974757918502626,1.5165566861619693,0.049649019263392505,3.2554741109811203,0.05482828751282793,0.28069627236451133,0.13529002126010806,-0.5415265520882521,0.6022083662577329,4.1941094089056215,0.33536314252561855,-0.10699184498305225,1.644877184018987,2.33966512402649,0.267301810808443,4.0041078782386865
zero,0,8,-1.058779586666667,6.170641293655399,3.0678856969696966,-14.139204757575758,11.246094,4.280861075377174,-0.01028244515443176,-0.3969972478545807,27.158491902680744,56.41098418200792,4.091329207274949,3.5058020377012533,-5.96107126,3.605271730909305,3.3338658181818186,-11.658499303030302,1.5845167878787856,4.432967522525763,0.12582150287406987,-1.0178160018875093,21.49323187281659,66.26670706856133,1.437395535286405,3.1648444198723205,1.511414481515152,8.719131675362556,4.363754924242423,-11.581912606060603,22.052201727272728,4.189196279980537,0.9513725209777545,0.2655803094568365,36.8492864143216,80.454292498783,4.7095867976934835,3.4763259599883978,-0.6557242457933028,0.597138510944457,0.08003308523979452,-0.9824282891513249,1.0,4.59818665012282,2.312175167807041,3.5332491925652967,4.0977588627761365,7.865318879737522,0.7389550236444672,3.765698347343812,0.3348650452501897,0.211884429701594,0.17390186676256852,-0.0011372193740221,0.6546301717005236,4.36057924436908,-0.03211614408228932,-1.2786227591951944,0.860897725305652,3.8680506866639797,0.038091436519136546,2.3585313143836717,-0.04061240687497142,0.04526474313089686,0.035832735035260146,-0.0909210806653878,0.0481376781459917,4.434817206785044,0.6015401150464355,-1.086378877895521,0.1790780336589077,0.5811690925619576,0.010310521308929458,2.9506549222832255,0.022827884491361465,0.20776465075831185,0.12062123747034686,-0.3760291284710115,0.2471632718781257,4.445274007936839,-0.7611932142227207,-0.882994054931252,0.7711943550253058,1.9426748333893975,0.17984177226155135,3.4390333858176234
zero,0,9,-2.923409079090909,6.0391395780344395,4.21661931818182,-15.175781,4.934303727272727,4.2845368058904425,-0.6580843511664255,-0.6924803008980156,23.847291127411008,62.71410889547758,1.67238108859007,3.2702712338997753,-6.345245073636363,3.551084510307398,1.652521409090908,-11.160156,1.483309454545453,4.463317997809872,0.9436793202799154,-0.1474436272788462,21.536466944048883,69.45080428586164,1.6082416107993494,3.1906089164438867,3.433512056363637,9.892264278721592,6.18021981818182,-8.195312,24.794744727272725,4.229494476023204,0.8704934935708926,-0.49867538819761625,35.35069186141165,98.56428534233935,2.391229612219516,3.1460331323459316,-0.6985055479799549,0.5399281755951643,0.0678424434494862,-0.9667855274082248,1.0,4.595414457223917,2.723814788949547,5.638962535558626,3.9724680308810516,7.884335183112017,0.6872769491138446,3.7732567609296024,0.27609072937120616,0.18515302583621665,0.15794303882535776,-8.673617379884035e-19,0.5739964898518339,4.338432016329343,0.1218878068374414,-1.3018287385171292,0.7047814596549054,3.2487007366376224,0.024769442552750806,2.274474171684172,-0.18045644737532668,0.08954744381877765,0.021788410731438293,-0.2696631632318688,0.0111397545853408,4.429538090450259,1.0626694941506611,-0.4933521366515743,0.5996865994555162,1.9232013393853484,0.05131733013231482,3.2830319901033156,-0.00952875216470671,0.2435663689360911,0.13762979434425346,-0.4183589735408448,0.265435768941672,4.4714541760970485,-0.5292448836870354,-1.3601779333778403,0.8266849893280902,2.2930611086214996,0.15864821572413826,3.326458570510971
zero,0,10,-2.520481836666667,7.029372129011399,3.1276045000000026,-22.085938,6.53125,4.205214986964163,-1.085577683975511,0.7423060059837181,36.21905115554959,65.30444437479402,4.568987544831844,3.755481066964518,-5.313763003333334,4.007671941897321,2.556640333333332,-16.108073,0.885416666666667,4.3632009211609875,-0.35207306467332594,0.03431837278320282,28.984404039523366,59.91373371289904,2.3471190275815155,3.7284165852964897,4.213632770000001,9.959542602499829,4.315104166666668,-8.992188,24.894531,4.065696723389116,1.0400425189768572,-0.4041260190224203,37.13743277167128,101.5653980658388,2.9891774888194793,3.180782781786753,0.8864364423428164,0.06748629581650488,0.05530464028341203,0.772770271169943,1.0,4.602256891436653,-0.13410375841916677,-1.106064879553385,1.048500438324743,8.827969385678397,0.012534827780610693,0.8552348807778289,-0.3307542437684057,0.17523509583670163,0.12890757168876799,-0.5927958731862399,0.0,4.433060239323036,0.15511982516867326,-0.9870262608357554,0.8396035083780715,3.6476892421216514,0.03124388817523993,2.5937008063702836,0.1112318620983482,0.05507229679544977,0.011434915475174154,-0.013487178964546,0.1678473440877106,4.460467473598287,-1.1801394901583493,-0.07132995698691769,0.36413350672864114,1.1865729186597462,0.03281696451618774,3.2404455623750366,-0.035079945630794515,0.22977793098579008,0.1337200897341309,-0.3020664871045793,0.3335850610590711,4.497127266052299,0.3876381543971124,-1.4539218848350848,0.5870208866087949,2.2490568009816974,0.03928846428206326,2.7780055463500233
